plot,area,site,year,month,substrate,lat,lon,MOST.mean.annual.temperature,MOST.northeast.monsoon.temperature,MOST.southwest.monsoon.temperature,MOST.winter.temperature,MOST.spring.temperature,MOST.summer.temperature,MOST.autumn.temperature,MOST.mean.annual.salinity,MOST.northeast.monsoon.salinity,MOST.southwest.monsoon.salinity,MOST.winter.salinity,MOST.spring.salinity,MOST.summer.salinity,MOST.autumn.salinity,NASA.mean.temperature,NASA.spring.mean.temerature,NASA.summer.mean.temerature,NASA.autumn.mean.temerature,NASA.winter.mean.temerature,NASA.mean.salinity,NASA.spring.mean.salinity,NASA.summer.mean.salinity,NASA.autumn.mean.salinity,NASA.winter.mean.salinity,data.type,turbidity,mOTU001,mOTU002,mOTU003,mOTU004,mOTU005,mOTU006,mOTU007,mOTU008,mOTU009,mOTU010,mOTU011,mOTU012,mOTU013,mOTU014,mOTU015,mOTU016,mOTU017,mOTU018,mOTU019,mOTU020,mOTU021,mOTU022,mOTU023,mOTU024,mOTU025,mOTU026,mOTU027,mOTU028,mOTU029,mOTU030,mOTU031,mOTU032,mOTU033,mOTU034,mOTU035,mOTU036,mOTU037,mOTU038,mOTU039,mOTU040,mOTU041,mOTU042,mOTU043,mOTU044,mOTU045,mOTU046,mOTU047,mOTU048,mOTU049,mOTU050,mOTU051,mOTU052,mOTU053,mOTU054,mOTU055,mOTU056,mOTU057,mOTU058,mOTU059,mOTU060,mOTU061,mOTU062,mOTU063,mOTU064,mOTU065,mOTU066,mOTU067,mOTU068,mOTU069,mOTU070,mOTU071,mOTU072,mOTU073,mOTU074,mOTU075,mOTU076,mOTU077,mOTU078,mOTU079,mOTU080,mOTU081,mOTU082,mOTU083,mOTU084,mOTU085,mOTU086,mOTU087,mOTU088,mOTU089,mOTU090,mOTU091,mOTU092,mOTU093,mOTU094,mOTU095,mOTU096,mOTU097,mOTU098,mOTU099,mOTU100,mOTU101,mOTU102,mOTU103,mOTU104,mOTU105,mOTU106,mOTU107,mOTU108,mOTU109,mOTU110,mOTU111,mOTU112,mOTU113,mOTU114,mOTU115,mOTU116,mOTU117,mOTU118,mOTU119,mOTU120,mOTU121,mOTU122,mOTU123,mOTU124,mOTU125,mOTU126,mOTU127,mOTU128,mOTU129,mOTU130,mOTU131,mOTU132,mOTU133,mOTU134,mOTU135,mOTU136,mOTU137,mOTU138,mOTU139,mOTU140,mOTU141,mOTU142,mOTU143,mOTU144,mOTU145,mOTU146,mOTU147,mOTU148,mOTU149,mOTU150,mOTU151,SST.Feb,SST.Aug,SSS.annual,SSS.Feb,SSS.Aug,SSS.this,SSS.year.month,SST.annual,SST.this,SST.year.month
YAATHC,Taoyuan,Yongan,2018,October,hermit crab,24.9988889,121.018333,25.904,23.18,28.022,18.608,24.138,28.829,26.123,33.608,33.707,33.531,32.854,34.118,33.17,33.381,24.2802715,23.7914815,28.395,25.6412281,19.0653704,,,,,,community,r4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1054882154882,28.9945161290323,34.0551627748766,34.2949653394295,33.8251736380837,33.9526510016863,33.8680658340454,24.252380952381,25.7733327572544,25.1199994385243
YAATRF,Taoyuan,Yongan,2018,October,reef,24.9988889,121.018333,25.904,23.18,28.022,18.608,24.138,28.829,26.123,33.608,33.707,33.531,32.854,34.118,33.17,33.381,24.2802715,23.7914815,28.395,25.6412281,19.0653704,,,,,,community,r4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,18.1054882154882,28.9945161290323,34.0551627748766,34.2949653394295,33.8251736380837,33.9526510016863,33.8680658340454,24.252380952381,25.7733327572544,25.1199994385243
YASMCB,Taoyuan,Yongan,2018,July,cobble,24.9988889,121.018333,25.904,23.18,28.022,18.608,24.138,28.829,26.123,33.608,33.707,33.531,32.854,34.118,33.17,33.381,24.2802715,23.7914815,28.395,25.6412281,19.0653704,,,,,,community,r4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.1054882154882,28.9945161290323,34.0551627748766,34.2949653394295,33.8251736380837,33.8200192451477,33.6254644393921,24.252380952381,29.29222156749,29.0899993497878
YASMCB2,Taoyuan,Yongan,2019,June,cobble,24.9988889,121.018333,25.904,23.18,28.022,18.608,24.138,28.829,26.123,33.608,33.707,33.531,32.854,34.118,33.17,33.381,24.2802715,23.7914815,28.395,25.6412281,19.0653704,,,,,,community,r4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1054882154882,28.9945161290323,34.0551627748766,34.2949653394295,33.8251736380837,33.8862708863758,33.9957784016927,24.252380952381,28.1177771492965,28.3099993672222
YASMHC,Taoyuan,Yongan,2018,July,hermit crab,24.9988889,121.018333,25.904,23.18,28.022,18.608,24.138,28.829,26.123,33.608,33.707,33.531,32.854,34.118,33.17,33.381,24.2802715,23.7914815,28.395,25.6412281,19.0653704,,,,,,community,r4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1054882154882,28.9945161290323,34.0551627748766,34.2949653394295,33.8251736380837,33.8200192451477,33.6254644393921,24.252380952381,29.29222156749,29.0899993497878
YASMHC2,Taoyuan,Yongan,2019,June,hermit crab,24.9988889,121.018333,25.904,23.18,28.022,18.608,24.138,28.829,26.123,33.608,33.707,33.531,32.854,34.118,33.17,33.381,24.2802715,23.7914815,28.395,25.6412281,19.0653704,,,,,,community,r4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1054882154882,28.9945161290323,34.0551627748766,34.2949653394295,33.8251736380837,33.8862708863758,33.9957784016927,24.252380952381,28.1177771492965,28.3099993672222
YASPCB,Taoyuan,Yongan,2018,April,cobble,24.9988889,121.018333,25.904,23.18,28.022,18.608,24.138,28.829,26.123,33.608,33.707,33.531,32.854,34.118,33.17,33.381,24.2802715,23.7914815,28.395,25.6412281,19.0653704,,,,,,community,r4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1054882154882,28.9945161290323,34.0551627748766,34.2949653394295,33.8251736380837,34.2154917833282,34.2749304771423,24.252380952381,23.8355550227894,24.4899994526058
YASPHC,Taoyuan,Yongan,2018,April,hermit crab,24.9988889,121.018333,25.904,23.18,28.022,18.608,24.138,28.829,26.123,33.608,33.707,33.531,32.854,34.118,33.17,33.381,24.2802715,23.7914815,28.395,25.6412281,19.0653704,,,,,,community,r4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1054882154882,28.9945161290323,34.0551627748766,34.2949653394295,33.8251736380837,34.2154917833282,34.2749304771423,24.252380952381,23.8355550227894,24.4899994526058
YASPRF,Taoyuan,Yongan,2018,April,reef,24.9988889,121.018333,25.904,23.18,28.022,18.608,24.138,28.829,26.123,33.608,33.707,33.531,32.854,34.118,33.17,33.381,24.2802715,23.7914815,28.395,25.6412281,19.0653704,,,,,,community,r4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18.1054882154882,28.9945161290323,34.0551627748766,34.2949653394295,33.8251736380837,34.2154917833282,34.2749304771423,24.252380952381,23.8355550227894,24.4899994526058
YAWTCB,Taoyuan,Yongan,2019,March,cobble,24.9988889,121.018333,25.904,23.18,28.022,18.608,24.138,28.829,26.123,33.608,33.707,33.531,32.854,34.118,33.17,33.381,24.2802715,23.7914815,28.395,25.6412281,19.0653704,,,,,,community,r4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.1054882154882,28.9945161290323,34.0551627748766,34.2949653394295,33.8251736380837,34.3931415264423,34.2143025398254,24.252380952381,20.5166662080834,22.5099994968623
YAWTHC,Taoyuan,Yongan,2019,March,hermit crab,24.9988889,121.018333,25.904,23.18,28.022,18.608,24.138,28.829,26.123,33.608,33.707,33.531,32.854,34.118,33.17,33.381,24.2802715,23.7914815,28.395,25.6412281,19.0653704,,,,,,community,r4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1054882154882,28.9945161290323,34.0551627748766,34.2949653394295,33.8251736380837,34.3931415264423,34.2143025398254,24.252380952381,20.5166662080834,22.5099994968623
YXSPRF,Taoyuan,Yongxin,2018,April,reef,25.0111111,121.024167,25.904,23.18,28.022,18.608,24.138,28.829,26.123,33.608,33.707,33.531,32.854,34.118,33.17,33.381,24.2802715,23.7914815,28.395,25.6412281,19.0653704,,,,,,community,r4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18.055404040404,28.9816282642089,34.0551627748766,34.2949653394295,33.8251736380837,34.2154917833282,34.2749304771423,24.2280952380952,23.7999994680285,24.4999994523823
